Contact Type,Precinct,# Contact Attempts,# Contacts/Canvasses,Contact rate,,
2: Calls,Pct 052,28668,509,1.78%,,
2: Calls,Pct 026,28164,573,2.03%,,
2: Calls,Pct 012,28153,659,2.34%,,
2: Calls,Pct 024,28100,512,1.82%,,
2: Calls,Pct 137,27951,519,1.86%,,
2: Calls,Pct 231,27784,602,2.17%,,
2: Calls,Pct 054,27703,706,2.55%,,
2: Calls,Pct 239,27436,566,2.06%,,
2: Calls,Pct 142,27003,484,1.79%,,
2: Calls,Pct 205,26878,580,2.16%,,
2: Calls,Pct 224,26842,530,1.97%,,
2: Calls,Pct 078,26623,464,1.74%,,
2: Calls,Pct 098,25890,471,1.82%,,
2: Calls,Pct 207,25748,492,1.91%,,
2: Calls,Pct 209,25489,645,2.53%,,
2: Calls,Pct 150,25411,553,2.18%,,
2: Calls,Pct 143,25228,436,1.73%,,
2: Calls,Pct 214,25142,531,2.11%,,
2: Calls,Pct 216,23573,614,2.60%,,
2: Calls,Pct 039,23557,472,2.00%,,
2: Calls,Pct 240,22948,468,2.04%,,
2: Calls,Pct 027,22929,487,2.12%,,
2: Calls,Pct 141,22410,405,1.81%,,
2: Calls,Pct 023,21964,469,2.14%,,
2: Calls,Pct 025,21845,495,2.27%,,
2: Calls,Pct 238,21833,468,2.14%,,
2: Calls,Pct 133,21759,452,2.08%,,
2: Calls,Pct 077,21684,410,1.89%,,
2: Calls,Pct 042,21612,614,2.84%,,
2: Calls,Pct 041,21430,472,2.20%,,
2: Calls,Pct 017,20880,375,1.80%,,
2: Calls,Pct 132,20627,546,2.65%,,
2: Calls,Pct 002,20474,464,2.27%,,
2: Calls,Pct 043,20395,398,1.95%,,
2: Calls,Pct 127,20393,472,2.31%,,
2: Calls,Pct 104,20380,436,2.14%,,
2: Calls,Pct 120,20157,313,1.55%,,
2: Calls,Pct 232,20133,368,1.83%,,
2: Calls,Pct 128,20065,413,2.06%,,
2: Calls,Pct 091,19795,400,2.02%,,
2: Calls,Pct 083,19755,345,1.75%,,
2: Calls,Pct 031,19743,373,1.89%,,
2: Calls,Pct 051,19030,362,1.90%,,
2: Calls,Pct 049,18901,284,1.50%,,
2: Calls,Pct 046,18612,335,1.80%,,
2: Calls,Pct 109,18487,353,1.91%,,
2: Calls,Pct 006,18449,346,1.88%,,
2: Calls,Pct 215,18344,406,2.21%,,
2: Calls,Pct 236,18301,598,3.27%,,
2: Calls,Pct 117,18297,315,1.72%,,
2: Calls,Pct 226,18243,323,1.77%,,
2: Calls,Pct 124,18229,440,2.41%,,
2: Calls,Pct 200,18008,412,2.29%,,
2: Calls,Pct 235,17806,416,2.34%,,
2: Calls,Pct 233,17795,422,2.37%,,
2: Calls,Pct 033,17672,382,2.16%,,
2: Calls,Pct 029,17548,343,1.95%,,
2: Calls,Pct 234,17381,490,2.82%,,
2: Calls,Pct 056,17357,385,2.22%,,
2: Calls,Pct 028,17208,349,2.03%,,
2: Calls,Pct 144,17192,353,2.05%,,
2: Calls,Pct 055,17181,387,2.25%,,
2: Calls,Pct 069,17178,327,1.90%,,
2: Calls,Pct 060,17063,399,2.34%,,
2: Calls,Pct 034,16838,328,1.95%,,
2: Calls,Pct 099,16801,315,1.87%,,
2: Calls,Pct 010,16728,264,1.58%,,
2: Calls,Pct 021,16526,289,1.75%,,
2: Calls,Pct 079,16166,384,2.38%,,
2: Calls,Pct 108,16117,280,1.74%,,
2: Calls,Pct 038,16080,244,1.52%,,
2: Calls,Pct 084,16063,304,1.89%,,
2: Calls,Pct 139,15965,271,1.70%,,
2: Calls,Pct 045,15953,334,2.09%,,
2: Calls,Pct 208,15861,376,2.37%,,
2: Calls,Pct 003,15688,335,2.14%,,
2: Calls,Pct 111,15313,290,1.89%,,
2: Calls,Pct 114,14995,263,1.75%,,
2: Calls,Pct 123,14966,318,2.12%,,
2: Calls,Pct 061,14937,327,2.19%,,
2: Calls,Pct 121,14904,254,1.70%,,
2: Calls,Pct 062,14747,284,1.93%,,
2: Calls,Pct 005,14577,279,1.91%,,
2: Calls,Pct 020,14531,212,1.46%,,
2: Calls,Pct 004,14272,247,1.73%,,
2: Calls,Pct 095,14250,273,1.92%,,
2: Calls,Pct 007,14174,277,1.95%,,
2: Calls,Pct 044,14058,248,1.76%,,
2: Calls,Pct 074,14048,254,1.81%,,
2: Calls,Pct 221,13972,426,3.05%,,
2: Calls,Pct 113,13892,295,2.12%,,
2: Calls,Pct 047,13866,273,1.97%,,
2: Calls,Pct 130,13842,237,1.71%,,
2: Calls,Pct 092,13830,292,2.11%,,
2: Calls,Pct 217,13816,265,1.92%,,
2: Calls,Pct 087,13729,262,1.91%,,
2: Calls,Pct 101,13589,216,1.59%,,
2: Calls,Pct 088,13518,273,2.02%,,
2: Calls,Pct 063,13435,224,1.67%,,
2: Calls,Pct 225,13422,309,2.30%,,
2: Calls,Pct 118,13271,222,1.67%,,
2: Calls,Pct 036,13237,262,1.98%,,
2: Calls,Pct 068,13078,240,1.84%,,
2: Calls,Pct 100,13052,257,1.97%,,
2: Calls,Pct 058,12946,168,1.30%,,
2: Calls,Pct 057,12844,238,1.85%,,
2: Calls,Pct 116,12776,227,1.78%,,
2: Calls,Pct 037,12657,224,1.77%,,
2: Calls,Pct 035,12644,215,1.70%,,
2: Calls,Pct 097,12566,222,1.77%,,
2: Calls,Pct 085,12546,350,2.79%,,
2: Calls,Pct 075,12508,271,2.17%,,
2: Calls,Pct 242,12464,229,1.84%,,
2: Calls,Pct 103,12392,248,2.00%,,
2: Calls,Pct 076,12356,211,1.71%,,
2: Calls,Pct 071,12328,194,1.57%,,
2: Calls,Pct 096,12297,195,1.59%,,
2: Calls,Pct 115,12077,200,1.66%,,
2: Calls,Pct 008,11906,149,1.25%,,
2: Calls,Pct 094,11774,260,2.21%,,
2: Calls,Pct 050,11597,188,1.62%,,
2: Calls,Pct 112,11572,203,1.75%,,
2: Calls,Pct 136,11461,336,2.93%,,
2: Calls,Pct 218,11334,293,2.59%,,
